No.,Site name,long,lat,Elev. (m),Tann,Mtco,Mtwa,GDD5,GDD0,Pann,Drought,MI,Sedtype
132,China 052,105.765,26.005,1350,14.57583333,5.5,22.1,3507.4,5332.4,1333.12,0.015,1.563,4
133,China 053,100.175,26.985,3262,7.134166667,1.1,12.7,1132.1,2612.5,889.98,0.173,1.062,4
134,China 054,121.375,24.835,615,14.45333333,5.7,22.1,3466.2,5291.2,1414.22,0.016,1.419,4
135,China 055,113.305,25.105,130,17.50666667,7.7,26.4,4580.2,6405.2,1588.47,0.015,1.642,4
136,China 056,121.445,24.785,1400,11.76583333,3.2,19.2,2566.2,4309.8,1554.84,0.017,1.664,4
137,China 057,100.165,26.955,2948,8.129166667,2,13.8,1381,2975.7,885.28,0.189,1.024,4
138,China 058,100.205,26.955,2700,11.50916667,4.7,17.6,2392.9,4209.8,887.99,0.244,0.93,4
139,China 059,110.205,21.205,50,22.875,15.4,28.6,6535.1,8360.1,1685.95,0.014,1.398,4
140,China 060,114.335,22.375,-20,21.98583333,14.8,27.8,6210.7,8035.7,1927.4,0.016,1.629,4
141,China 061,114.015,22.275,-30,21.6275,14.5,27.5,6079.9,7904.9,1943.12,0.015,1.664,4
142,China 062,108.805,18.735,650,21.8925,17.5,25.1,6171.4,7996.4,1551.04,0.152,1.184,4
143,China 063,100.175,26.965,3138,8.116666667,2,13.8,1379,2971.2,884.42,0.19,1.023,4
144,China 064,100.265,26.765,2425,13.18083333,6.3,19.2,2994.7,4819.7,871.2,0.272,0.868,4
145,China 065,105.765,26.005,1350,14.57583333,5.5,22.1,3507.4,5332.4,1333.12,0.015,1.563,4
146,China 066,102.455,25.305,2000,15.41333333,7.7,20.9,3809.7,5634.7,894.17,0.237,0.85,4
147,China 067,121.445,24.785,1460,11.76583333,3.2,19.2,2566.2,4309.8,1554.84,0.017,1.664,4
148,China 068,109.205,19.805,-1,24.155,17.7,28.9,6999.6,8824.6,1568.25,0.116,1.205,4
149,China 069,109.095,19.605,2,24.33083333,18,28.9,7063.5,8888.5,1513.63,0.133,1.151,4
150,China 070,121.445,24.795,1320,10.7775,2.2,18.2,2279,3949,1609.69,0.017,1.769,4
151,China 071,112.275,23.105,500,21.61,13.3,28.5,6074.6,7899.6,1714,0.014,1.577,4
152,China 073,108.805,18.705,950,24.7275,19.8,28.3,7206.6,9031.6,1339.28,0.194,0.972,6
153,China 074,111.025,21.475,-10,23.26166667,16.2,28.6,6675.4,8500.4,1793.79,0.014,1.493,4
154,China 075,100.595,21.675,400,16.86916667,11.7,20.5,4337.5,6162.5,1571.75,0.147,1.45,4
155,China 076,121.435,24.795,1220,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
156,China 077,113.305,25.105,120,17.50666667,7.7,26.4,4580.2,6405.2,1588.47,0.015,1.642,4
157,China 078,121.385,24.835,876,14.64833333,5.9,22.3,3537.4,5362.4,1403.8,0.016,1.402,4
158,China 079,110.235,18.695,19,24.30916667,19.2,27.8,7053.7,8878.7,1856.9,0.109,1.395,4
159,China 080,109.725,18.305,4,25.51583333,21.2,28.6,7493.2,9318.2,1566.17,0.183,1.12,4
160,China 081,116.125,24.605,160,20.92166667,11.9,28.5,5824.1,7649.1,1641.3,0.015,1.505,4
161,China 082,110.155,20.235,180,23.87833333,17.3,28.8,6899.1,8724.1,1652.55,0.059,1.303,4
162,China 083,100.105,25.685,3307,7.470833333,2.1,12.3,1127.6,2734.1,1091.01,0.119,1.28,4
163,China 084,114.295,22.255,-25,22.39,15.2,28.1,6358.2,8183.2,1923.87,0.018,1.61,4
164,China 085,109.605,18.305,0,25.585,21.3,28.7,7518.4,9343.4,1521.61,0.191,1.086,4
165,China 086,121.445,24.795,1340,10.7775,2.2,18.2,2279,3949,1609.69,0.017,1.769,4
166,China 087,121.445,24.795,1290,10.7775,2.2,18.2,2279,3949,1609.69,0.017,1.769,4
167,China 088,102.505,25.215,2200,15.69416667,8.1,21.1,3912,5737,892.65,0.237,0.845,4
168,China 089,111.425,23.375,280,20.70333333,11.6,28.1,5744.5,7569.5,1534.3,0.014,1.42,4
169,China 090,114.235,22.285,-30,22.79,15.5,28.7,6504.3,8329.3,1891.93,0.019,1.576,4
171,China 092,109.805,26.005,450,16.54583333,5.8,26,4230.1,6055.1,1503.4,0.014,1.652,6
172,China 093,109.415,24.115,120,20.37166667,10.3,28.4,5625.3,7450.3,1362.7,0.014,1.324,6
173,China 094,110.045,25.535,400,17.6425,7.4,26.7,4630.1,6455.1,1662.45,0.014,1.76,6
174,China 095,114.705,25.405,250,18.49666667,7.9,28,4942,6767,1558.94,0.015,1.543,4
175,China 096,114.705,25.405,300,18.49666667,7.9,28,4942,6767,1558.94,0.015,1.543,4
176,China 097,121.385,24.835,874,14.64833333,5.9,22.3,3537.4,5362.4,1403.8,0.016,1.402,4
177,China 098,108.105,22.505,130,21.63666667,12.9,28.2,6084.5,7909.5,1391.92,0.014,1.252,6
178,China 099,109.615,23.505,120,21.06916667,11.4,28.7,5879.1,7704.1,1364.53,0.014,1.277,6
179,China 100,109.605,18.205,10,24.40166667,20.6,27.2,7086.1,8911.1,1590.13,0.182,1.149,4
180,China 101,121.375,24.835,600,14.45333333,5.7,22.1,3466.2,5291.2,1414.22,0.016,1.419,4
181,China 102,110.795,19.505,4,24.2925,18.5,28.4,7048.9,8873.9,1861.63,0.053,1.445,4
182,China 103,113.105,23.355,18,21.68833333,13.3,28.8,6103.8,7928.8,1829.03,0.014,1.661,4
183,China 104,105.915,26.255,1300,14.0475,4.6,21.9,3318.7,5140.3,1307.31,0.015,1.573,4
184,China 105,121.375,24.835,540,14.45333333,5.7,22.1,3466.2,5291.2,1414.22,0.016,1.419,4
186,China 107,121.385,24.835,870,14.64833333,5.9,22.3,3537.4,5362.4,1403.8,0.016,1.402,4
187,China 108,110.305,25.065,130,19.02916667,8.3,28.2,5136.9,6961.9,1647.52,0.014,1.669,6
188,China 110,116.205,24.605,180,19.49583333,10.8,26.8,5303.4,7128.4,1702.58,0.015,1.603,4
189,China 111,105.765,26.005,1350,14.57583333,5.5,22.1,3507.4,5332.4,1333.12,0.015,1.563,4
190,China 112,100.185,26.955,2838,8.049166667,2,13.7,1357.2,2946.5,886.97,0.19,1.027,4
191,China 113,109.305,19.905,34,24.10083333,17.6,28.9,6980,8805,1594.16,0.106,1.231,4
192,China 114,109.805,26.005,460,16.54583333,5.8,26,4230.1,6055.1,1503.4,0.014,1.652,6
193,China 115,117.375,27.645,172,17.34083333,6.3,27.8,4520.8,6345.8,1857.2,0.015,1.907,4
195,China 117,114.515,26.795,169,18.04166667,6.5,28.7,4777.8,6602.8,1543.79,0.015,1.543,4
196,China 118,109.705,19.405,35,23.5325,17.5,27.8,6771.1,8596.1,1823.73,0.085,1.433,4
197,China 119,108.905,19.225,250,24.73,18.8,29,7208.7,9033.7,1359.8,0.173,1.008,4
198,China 120,108.655,19.005,10,25.05833333,19.3,29.2,7328.6,9153.6,1219.36,0.211,0.882,6
199,China 121,111.085,21.485,-20,23.2525,16.2,28.6,6672,8497,1808,0.014,1.505,4
200,China 122,114.325,22.385,-18,22.54083333,15.2,28.4,6413.3,8238.3,1895.47,0.018,1.587,4
201,China 123,113.305,25.105,200,17.50666667,7.7,26.4,4580.2,6405.2,1588.47,0.015,1.642,4
202,China 124,116.545,23.345,5,21.55083333,14,28.2,6053.5,7878.5,1725.92,0.021,1.47,4
203,China 125,121.375,24.825,700,15.35583333,6.6,23,3795.7,5620.7,1368.7,0.016,1.344,4
204,China 126,110.045,25.535,520,17.6425,7.4,26.7,4630.1,6455.1,1662.45,0.014,1.76,6
205,China 127,102.515,25.255,2000,15.2375,7.7,20.6,3745.3,5570.3,905.38,0.231,0.867,4
206,China 128,108.805,18.705,850,24.7275,19.8,28.3,7206.6,9031.6,1339.28,0.194,0.972,6
207,China 129,118.105,25.725,1360,14.91166667,7,22.5,3629.6,5454.6,1758.22,0.016,1.878,4
208,China 130,109.235,19.705,0,24.35083333,18,29,7070.9,8895.9,1563.65,0.12,1.197,4
210,China 132,121.475,24.825,1090,11.98,3.4,19.5,2632,4388.1,1541.48,0.017,1.642,4
211,China 133,102.535,25.205,1900,15.0525,7.7,20.4,3677.6,5502.6,914.11,0.227,0.88,4
212,China 134,108.805,18.705,750,24.7275,19.8,28.3,7206.6,9031.6,1339.28,0.194,0.972,6
213,China 135,121.435,24.795,1280,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
214,China 136,115.205,26.105,120,19.00833333,7.8,29.3,5129.9,6954.9,1522.19,0.015,1.475,4
215,China 137,102.525,25.225,1900,15.64166667,8.1,21.1,3892.8,5717.8,894.3,0.236,0.849,4
216,China 138,121.475,24.825,1095,11.98,3.4,19.5,2632,4388.1,1541.48,0.017,1.642,4
217,China 139,108.805,18.705,750,24.7275,19.8,28.3,7206.6,9031.6,1339.28,0.194,0.972,6
218,China 140,121.435,24.795,1285,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
219,China 141,110.205,21.205,60,22.875,15.4,28.6,6535.1,8360.1,1685.95,0.014,1.398,4
220,China 142,121.375,24.835,560,14.45333333,5.7,22.1,3466.2,5291.2,1414.22,0.016,1.419,4
221,China 143,113.305,25.205,100,16.54,6.6,25.6,4227.5,6052.5,1599.46,0.015,1.689,4
222,China 144,109.995,18.935,800,19.97416667,15.1,23.4,5471.2,7296.2,2034.91,0.063,1.684,4
223,China 145,109.705,18.835,800,19.3325,14.9,22.5,5236.5,7061.5,1968.74,0.075,1.637,4
224,China 146,112.805,24.005,137,19.215,10.6,26.6,5201.6,7026.6,1857.3,0.015,1.809,6
225,China 147,121.445,24.785,1420,11.76583333,3.2,19.2,2566.2,4309.8,1554.84,0.017,1.664,4
226,Chitsai Lake,121.235,23.805,2890,6.545,-2,13.4,1183.3,2484.8,1880.67,0.018,2.256,1
