taxon_name,eco_group,family_level
Botrychium multifidum,VACR,delete
Botrychium-type,VACR,delete
Botryoccocus,ALGA,delete
Botryococcaceae,NOPO,delete
Botryococcus,ALGA,delete
Botryococcus braunii,ALGA,delete
Botryococcus pila,ALGA,delete
Brass-eae,HERB,Brassicaceae
Brassica,HERB,Brassicaceae
Brassica type,HERB,Brassicaceae
Brassica-type,HERB,Brassicaceae
Brassicacaeae,HERB,Brassicaceae
Brassicaceae,HERB,Brassicaceae
Brassicaceae Hornungia & Sinapis t.,HERB,Brassicaceae
Brassicaceae cf. Cardamine,HERB,Brassicaceae
Brassicaceae clumps,HERB,Brassicaceae
Brassicaceae undiff.,HERB,Brassicaceae
Brassicaeae,HERB,Brassicaceae
Brigantedinium,DINO,delete
Brigantedinium,ALGA,delete
Briophyte 340-type,BRYO,delete
Broussonetia,NA,Moraceae
Bruckenthalia,DWAR,Ericaceae
Bryales,BRYO,delete
Bryales undiff.,BRYO,delete
Bryales/Botrychium,VACR,delete
Bryidae,BRYO,delete
Bryideae,BRYO,delete
Bryonia,HERB,Cucurbitaceae
Bryophyta,BRYO,delete
Bryophyte spores,BRYO,delete
Bryophytes,BRYO,delete
Buddleia,TRSH,Scrophulariaceae
Bunium-type,HERB,Apiaceae
Bupleurum,HERB,Apiaceae
Bupleurum t.,HERB,Apiaceae
Bupleurum-type,HERB,Apiaceae
Burn tissues,CHAR,delete
Butomaceae,AQUA,delete
Butomus,HELO,delete
Butomus,AQUA,delete
Butomus umbellatus,AQUA,delete
Buxaceae,NA,Buxaceae
Buxus,TRSH,Buxaceae
Buxus clumps,TRSH,Buxaceae
Buxus clumps of two,TRSH,Buxaceae
Buxus sempervirens,TRSH,Buxaceae
Byssothecium circinans,FUNG,delete
C. Asteraceae,HERB,Asteraceae
C. Cichoriaceae,HERB,Asteraceae
C. Orientalis/Ostrya,TRSH,Betulaceae
C. orientalis,TRSH,Betulaceae
CALLUNA,TRSH,Ericaceae
CALLUNA VULGARIS,TRSH,Ericaceae
CALYSTEGIA,HERB,Convolvulaceae
CAMPANULACEAE,HERB,Campanulaceae
CANNABACEAE,HERB,Cannabaceae
CARDAMINE TYPE,HERB,Brassicaceae
CARDUUS type,HERB,Asteraceae
CAREX type,HELO,delete
CARPINUS,TRSH,Betulaceae
CARPINUS BETULUS,TRSH,Betulaceae
CARYOPHYLLACEAE,HERB,Caryophyllaceae
CASTANEA,TRSH,Fagaceae
CEDRUS,TRSH,delete
CELTIS,TRSH,Cannabaceae
CENTAUREA,HERB,Asteraceae
CEREALIA t.,HERB,Poaceae
CHAEROPHYLLUM HIRSUTUM,HERB,Apiaceae
CHENOPODIACEAE,HERB,Amaranthaceae
CHENOPODIACEAE/AMARANTHACEAE,HERB,Amaranthaceae
CICHORIOIDEAE,HERB,Asteraceae
CIRSIUM,HERB,Asteraceae
COMP. LIGULIFLORAE,HERB,Asteraceae
CONVOLVULACEAE,HERB,Convolvulaceae
CORNUS,TRSH,Cornaceae
CORRODED POLLEN undeterminable,INUN,delete
CORYLUS,TRSH,Betulaceae
CRATAEGUS,TRSH,Rosaceae
CRUCIFERAE,HERB,Brassicaceae
CUPRESSACEAE,TRSH,delete
CUPRESSUS,TRSH,delete
CYCLAMEN,HERB,Primulaceae
CYPERACEAE,HERB,Cyperaceae
CYPERACEAE/JUNCACEAE,HERB,Cyperaceae
CYSTOPTERIS,VACR,delete
Cactaceae,NA,Cactaceae
Calendula,HERB,Asteraceae
Calendula-type,HERB,Asteraceae
Callidina,ROTI,delete
Callidina angusticollis,ROTI,delete
Calligonum,TRSH,Polygonaceae
Calligonum-type,NA,Polygonaceae
Callitriche,HERB,delete
Callitriche,AQUA,delete
Callitriche obtusangula,AQUA,delete
Calluna,TRSH,Ericaceae
Calluna,DWAR,Ericaceae
Calluna vulgaris,TRSH,Ericaceae
Calluna vulgaris,DWAR,Ericaceae
Calluna vulgaris-type,TRSH,Ericaceae
Calluna-type,DWAR,Ericaceae
Caltha,AQUA,delete
Caltha,HERB,delete
Caltha T,HELO,delete
Caltha palustris,AQUA,delete
Caltha palustris type,HELO,delete
Caltha palustris-type,AQUA,delete
Caltha palustris-type,HELO,delete
Caltha typ,HELO,delete
Caltha type,HELO,delete
Caltha-type,HELO,delete
Caltha-type,HERB,delete
Caltha/Aquilegia-type,NA,delete
